,city,state,geoid,area_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,circuity_avg,cluster_coeff_avg,cluster_coeff_weighted_avg,degree_centrality_avg,D_len,D_number,H_len,H_number,EH_number,EH_len,edge_density_km,edge_length_avg,edge_length_total,entropy,dead_end_count,dead_end_proportion,intersect_3way_count,intersect_3way_proportion,intersect_4way_count,intersect_4way_proportion,intersection_count,intersect_density_km,k_avg,edge_count,node_count,node_density_km,pagerank_max,pagerank_min,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg,city1
4,NLD_Eindhoven,Netherlands,NL005,1445.04,2.690943974,0.045066583,1.078768363,0.07034783,0.00051458,0.000142357,0.691532585,0.669016018,1.439165635,1.334085131,0.481169501,0.519069281,7848.819706,131.3155854,11341858,0.032168561,5765,0.165494474,24834,0.712903689,3692,0.10598536,29070,20.11709018,4.958863212,86371,34835,24.10659913,0.000129971,4.32E-06,0.007571986,4318.798126,128.9375655,6240836.044,48402,2.763944309,Eindhoven
5,NLD_Tilburg,Netherlands,NL006,432.743,2.675692758,0.047063748,1.072220022,0.050492535,0.000519838,0.000410987,0.687296157,0.606533983,1.397031227,1.173454035,0.423234079,0.503872506,8155.692309,120.3806111,3529318,0.044745435,2044,0.171117622,8370,0.700711595,1314,0.110004186,9901,22.87963064,4.908832147,29318,11945,27.60298838,0.000318121,1.26E-05,0.006924074,4618.874445,121.1825866,1998785.584,16494,2.753453328,Tilburg
6,NLD_Groningen,Netherlands,NL007,2066.38,2.744614926,0.038672438,1.076286259,0.047079699,0.000585414,0.000221767,0.725886015,0.673327533,1.547612684,1.386847876,0.489496451,0.546239374,5133.679417,191.4445232,10608132,0.050454782,4633,0.207246701,15505,0.693580854,2070,0.092596735,17722,8.576350913,4.957369716,55411,22355,10.81843611,0.000212803,6.72E-06,0.008409883,2732.529958,187.7766962,5646445.255,30070,2.674927309,Groningen
7,NLD_Enschede,Netherlands,NL008,849.894,2.758610824,0.044569301,1.078347186,0.049164358,0.000550483,0.000271465,0.657987596,0.657857348,1.391299901,1.332776215,0.505019804,0.527195785,8079.058617,149.2813167,6866343,0.013850535,3745,0.203433103,12687,0.689173774,1816,0.098647401,14663,17.25273975,4.997120973,45996,18409,21.66034823,0.000270006,8.17E-06,0.007978955,4327.554729,147.9827311,3677962.799,24854,2.686457711,Enschede
8,NLD_Arnhem,Netherlands,NL009,559.272,2.721380793,0.073732683,1.092248588,0.052572066,0.000627114,0.000295301,0.696209613,0.664836137,1.52215386,1.351042306,0.498898545,0.562084802,8927.510297,120.6220022,4992906,0.006743394,3273,0.195473005,11443,0.683408982,1832,0.109412327,13471,24.08666981,4.944218825,41393,16744,29.9389206,0.000341145,9.00E-06,0.008165632,5013.375635,122.9323316,2803840.618,22808,2.711777353,Arnhem
9,NLD_Heerlen,Netherlands,NL010,332.868,2.701092721,0.043832993,1.073139547,0.052295172,0.000818361,0.00045601,0.741146703,0.684840432,1.610827022,1.422363827,0.538966627,0.6103797,10222.86876,124.8025335,3402865,0.017059476,1749,0.159930505,8062,0.737198244,992,0.090709583,9187,27.59952894,4.986466715,27266,10936,32.85386399,0.000420565,1.38E-05,0.007921954,5723.638025,125.7236335,1905215.942,15154,2.761704462,Heerlen
10,NLD_Breda,Netherlands,NL012,734.616,2.70913218,0.046587653,1.074638133,0.054266008,0.000817062,0.000303152,0.657636144,0.652014769,1.397337518,1.287639653,0.487916514,0.529483578,7224.795848,133.5947097,5307450,0.023971969,3164,0.195429277,11100,0.6856084,1750,0.108091414,13026,17.73171289,4.907720815,39728,16190,22.03872499,0.000227882,9.32E-06,0.0054118,3991.897932,133.3808829,2932512.091,21986,2.712600371,Breda
11,NLD_ijmegen,Netherlands,NL013,398.722,2.701652893,0.046019273,1.086688151,0.050961564,0.000775112,0.000382022,0.701257347,0.641897385,1.465180652,1.270969945,0.481599975,0.555190914,9538.442348,123.3599355,3803186,0.006706828,2713,0.213537977,8695,0.68437623,1136,0.089413617,9992,25.06006691,4.853207399,30830,12705,31.86430646,0.000360026,1.19E-05,0.007298086,5241.423922,123.5002381,2089871.029,16922,2.65399449,ijmegen
12,NLD_Apeldoorn,Netherlands,NL014,710.304,2.744173861,0.045009833,1.073049252,0.050925926,0.000531772,0.000467414,0.733930823,0.675728826,1.585598841,1.414596438,0.52236714,0.58551309,5876.279149,157.2995887,4173944,0.022823019,2167,0.20335961,7251,0.680461712,1114,0.104542042,8489,11.95122089,4.980292793,26535,10656,15.0020273,0.000420278,1.42E-05,0.006519691,3183.99603,157.3399969,2261605.116,14374,2.690503003,Apeldoorn
13,NLD_eeuwarden,Netherlands,NL015,1102.12,2.697873985,0.046546516,1.077733961,0.054858804,0.000566294,0.000332611,0.715101495,0.689856318,1.52036017,1.413637405,0.522012998,0.561422447,5338.58405,169.4973138,5883760,0.04863555,3243,0.224460133,9864,0.682724252,1176,0.081395349,11205,10.1667695,4.805232558,34713,14448,13.1092803,0.000296811,1.04E-05,0.006683375,2858.522245,165.7425577,3150434.537,19008,2.62333887,eeuwarden
